original_name,artist_guess,title_guess,assigned_genre,confidence,new_path,reasons
Blue Clear Sky [-kDotYBr8rc].webm,Unknown,blue clear sky,unsorted,0.0,musicup/unsorted/Blue Clear Sky [-kDotYBr8rc].webm,no strong match
Boot Scootin' Boogie [OyWTyVaF5Uc].webm,Unknown,boot scootin' boogie,unsorted,0.0,musicup/unsorted/Boot Scootin' Boogie [OyWTyVaF5Uc].webm,no strong match
Brad Paisley - I'm Gonna Miss Her (Lyrics) [78AyhdkcDBU].webm,brad paisley,i'm gonna miss her,unsorted,0.0,musicup/unsorted/Brad Paisley - I'm Gonna Miss Her (Lyrics) [78AyhdkcDBU].webm,no strong match
Brand New Man [QWt6KLjKlS4].webm,Unknown,brand new man,unsorted,0.0,musicup/unsorted/Brand New Man [QWt6KLjKlS4].webm,no strong match
Brooks & Dunn - Hard Workin' Man (Official Video) [VcXg8RrylII].webm,brooks & dunn,hard workin' man,unsorted,0.0,musicup/unsorted/Brooks & Dunn - Hard Workin' Man (Official Video) [VcXg8RrylII].webm,no strong match
Brooks & Dunn - Neon Moon (Official Audio) [AxFdeZER8Eg].webm,brooks & dunn,neon moon,unsorted,0.0,musicup/unsorted/Brooks & Dunn - Neon Moon (Official Audio) [AxFdeZER8Eg].webm,no strong match
"Brooks & Dunn, Cody Johnson - Red Dirt Road (with Cody Johnson [Audio]) [8QSsknq812U].webm","brooks & dunn, cody johnson",red dirt road (with cody johnson ),unsorted,0.0,"musicup/unsorted/Brooks & Dunn, Cody Johnson - Red Dirt Road (with Cody Johnson [Audio]) [8QSsknq812U].webm",no strong match
Brother Jukebox [PSXJwS8OJiA].webm,Unknown,brother jukebox,unsorted,0.0,musicup/unsorted/Brother Jukebox [PSXJwS8OJiA].webm,no strong match
Bruno Mars - It Will Rain [Audio] [LMnPwyu-EcQ].webm,bruno mars,it will rain,pop,10,musicup/pop/Bruno Mars - It Will Rain [Audio] [LMnPwyu-EcQ].webm,artist:bruno mars->pop
Bruno Mars - The Lazy Song (Official Music Video) [fLexgOxsZu0].webm,bruno mars,the lazy song,pop,10,musicup/pop/Bruno Mars - The Lazy Song (Official Music Video) [fLexgOxsZu0].webm,artist:bruno mars->pop
Bryan Adams - Heaven (Classic Version) [vf3zFvcKQkw].webm,bryan adams,heaven (classic version),rock,12,musicup/rock/Bryan Adams - Heaven (Classic Version) [vf3zFvcKQkw].webm,artist:bryan adams->rock | kw:classic+2->rock
Buddy Jewell - Sweet Southern Comfort [f0mBFiqv76I].webm,buddy jewell,sweet southern comfort,unsorted,0.0,musicup/unsorted/Buddy Jewell - Sweet Southern Comfort [f0mBFiqv76I].webm,no strong match
BURN IT DOWN (Official Lyric Video) - Linkin Park [zgEKLhvCCVA].webm,burn it down,linkin park,rock,10,musicup/rock/BURN IT DOWN (Official Lyric Video) - Linkin Park [zgEKLhvCCVA].webm,artist:linkin park->rock
Callin' Baton Rouge [qK2H-g2gixM].webm,Unknown,callin' baton rouge,unsorted,0.0,musicup/unsorted/Callin' Baton Rouge [qK2H-g2gixM].webm,no strong match
Capital Cities - Safe And Sound [mQmOZX-8EZI].webm,capital cities,safe and sound,pop,3,musicup/pop/Capital Cities - Safe And Sound [mQmOZX-8EZI].webm,kw:safe and sound+3->pop
Carried Away [TjW6Y0ZNDWQ].webm,Unknown,carried away,unsorted,0.0,musicup/unsorted/Carried Away [TjW6Y0ZNDWQ].webm,no strong match
Chasin' That Neon Rainbow [_qFacDXU6qM].webm,Unknown,chasin' that neon rainbow,unsorted,0.0,musicup/unsorted/Chasin' That Neon Rainbow [_qFacDXU6qM].webm,no strong match
Chattahoochee [9kkDgx01aHc].webm,Unknown,chattahoochee,unsorted,0.0,musicup/unsorted/Chattahoochee [9kkDgx01aHc].webm,no strong match
Chicken Fried (Greatest Hits Version) [Ro4BWhD4uVk].webm,Unknown,chicken fried (greatest hits version),unsorted,2,musicup/unsorted/Chicken Fried (Greatest Hits Version) [Ro4BWhD4uVk].webm,kw:hick+2->country
Chris Young - Gettin' You Home (Official Video) [ZWP7ZtVLPd4].webm,chris young,gettin' you home,unsorted,0.0,musicup/unsorted/Chris Young - Gettin' You Home (Official Video) [ZWP7ZtVLPd4].webm,no strong match
Clay Walker - If I Could Make a Living (Official Music Video) [0q8-CwJYvfA].webm,clay walker,if i could make a living,unsorted,0.0,musicup/unsorted/Clay Walker - If I Could Make a Living (Official Music Video) [0q8-CwJYvfA].webm,no strong match
Clay Walker - Then What？ (Official Audio) [yja7J3JGBCc].webm,clay walker,then what？,unsorted,0.0,musicup/unsorted/Clay Walker - Then What？ (Official Audio) [yja7J3JGBCc].webm,no strong match
Clay Walker - What's It To You (Official Audio) [GgZHT657om4].webm,clay walker,what's it to you,unsorted,0.0,musicup/unsorted/Clay Walker - What's It To You (Official Audio) [GgZHT657om4].webm,no strong match
Clean Bandit - Rather Be ft. Jess Glynne [Official Video] [m-M1AtrxztU].webm,clean bandit,rather be ft. jess glynne,pop,9,musicup/pop/Clean Bandit - Rather Be ft. Jess Glynne [Official Video] [m-M1AtrxztU].webm,artist:clean bandit->pop | kw:ft.+1->hiphop
Cody Johnson - ＂Dance Her Home＂ (Official Audio) [RXUkmXE4SBI].webm,cody johnson,"""dance her home""",unsorted,0.0,musicup/unsorted/Cody Johnson - ＂Dance Her Home＂ (Official Audio) [RXUkmXE4SBI].webm,no strong match
Coldplay - A Sky Full Of Stars (Official audio) [zp7NtW_hKJI].webm,coldplay,a sky full of stars,alternative,13,musicup/alternative/Coldplay - A Sky Full Of Stars (Official audio) [zp7NtW_hKJI].webm,artist:coldplay->alternative | kw:sky full of stars+3->alternative
Coldplay - Paradise (Official Audio) [J6ZWlDks0nQ].webm,coldplay,paradise,alternative,13,musicup/alternative/Coldplay - Paradise (Official Audio) [J6ZWlDks0nQ].webm,artist:coldplay->alternative | kw:paradise+3->alternative
Coldplay - The Scientist (Official 4K Video) [RB-RcX5DS5A].webm,coldplay,the scientist,alternative,13,musicup/alternative/Coldplay - The Scientist (Official 4K Video) [RB-RcX5DS5A].webm,artist:coldplay->alternative | kw:the scientist+3->alternative
Coldplay - Yellow (Official Video) [yKNxeF4KMsY].webm,coldplay,yellow,alternative,10,musicup/alternative/Coldplay - Yellow (Official Video) [yKNxeF4KMsY].webm,artist:coldplay->alternative | kw:low+3->hiphop | kw:yellow+3->alternative
Conway Twitty - I'd Love To Lay You Down [d7FspsAHqfQ].webm,conway twitty,i'd love to lay you down,unsorted,0.0,musicup/unsorted/Conway Twitty - I'd Love To Lay You Down [d7FspsAHqfQ].webm,no strong match
Country Club [Xcj5bysG7f8].webm,Unknown,country club,country,6,musicup/country/Country Club [Xcj5bysG7f8].webm,kw:country+6->country
Creed - One Last Breath (Official Audio) [hwR6teRhmlc].webm,creed,one last breath,rock,14,musicup/rock/Creed - One Last Breath (Official Audio) [hwR6teRhmlc].webm,artist:creed->rock | kw:one last breath+4->rock
Dallas [XcAntdVbQdI].webm,Unknown,dallas,unsorted,0.0,musicup/unsorted/Dallas [XcAntdVbQdI].webm,no strong match
David Ball - Thinkin' Problem HIGHEST QUALITY [YZr2Dao-5oU].webm,david ball,thinkin' problem highest quality,unsorted,0.0,musicup/unsorted/David Ball - Thinkin' Problem HIGHEST QUALITY [YZr2Dao-5oU].webm,no strong match
David Guetta & Bebe Rexha - I'm Good (Blue) [Official Lyric Video] [NN1f066QTMU].webm,david guetta & bebe rexha,i'm good (blue),electronic,12,musicup/electronic/David Guetta & Bebe Rexha - I'm Good (Blue) [Official Lyric Video] [NN1f066QTMU].webm,artist:david guetta->electronic | kw:i'm good+2->electronic
David Guetta - Without You ft. Usher (Official Video) [jUe8uoKdHao].webm,david guetta,without you ft. usher,electronic,11,musicup/electronic/David Guetta - Without You ft. Usher (Official Video) [jUe8uoKdHao].webm,artist:david guetta->electronic | kw:ft.+1->hiphop | kw:without you+2->electronic
David Lee Murphy - Dust On The Bottle (Official Video) [uNkF_ZpQ4eg].webm,david lee murphy,dust on the bottle,unsorted,0.0,musicup/unsorted/David Lee Murphy - Dust On The Bottle (Official Video) [uNkF_ZpQ4eg].webm,no strong match
Deana Carter - Strawberry Wine (Official Music Video) [Up06CryWQpE].webm,deana carter,strawberry wine,unsorted,0.0,musicup/unsorted/Deana Carter - Strawberry Wine (Official Music Video) [Up06CryWQpE].webm,no strong match
Deana Carter - We Danced Anyway [Rquivobr_zc].webm,deana carter,we danced anyway,unsorted,0.0,musicup/unsorted/Deana Carter - We Danced Anyway [Rquivobr_zc].webm,no strong match
Deeper Than the Holler [hCgSbb_hJA0].webm,Unknown,deeper than the holler,unsorted,0.0,musicup/unsorted/Deeper Than the Holler [hCgSbb_hJA0].webm,no strong match
Diamond Rio - How Your Love Makes Me Feel (Official Audio) [OUwi7nLD3yo].webm,diamond rio,how your love makes me feel,unsorted,0.0,musicup/unsorted/Diamond Rio - How Your Love Makes Me Feel (Official Audio) [OUwi7nLD3yo].webm,no strong match
Diamond Rio - Meet In the Middle (Official Audio) [5Mc_225lAEY].webm,diamond rio,meet in the middle,unsorted,0.0,musicup/unsorted/Diamond Rio - Meet In the Middle (Official Audio) [5Mc_225lAEY].webm,no strong match
Diamond Rio - Norma Jean Riley (Official Audio) [qW_WW_r_kQg].webm,diamond rio,norma jean riley,unsorted,0.0,musicup/unsorted/Diamond Rio - Norma Jean Riley (Official Audio) [qW_WW_r_kQg].webm,no strong match
Diamond Rio - Unbelievable (Official Audio) [pr5WPFzWPdo].webm,diamond rio,unbelievable,unsorted,0.0,musicup/unsorted/Diamond Rio - Unbelievable (Official Audio) [pr5WPFzWPdo].webm,no strong match
Diamond Rio -- Imagine That [52_I3PTfDk4].webm,Unknown,diamond rio -- imagine that,unsorted,0.0,musicup/unsorted/Diamond Rio -- Imagine That [52_I3PTfDk4].webm,no strong match
Dixieland Delight (Single Edit) [_X7hbg349A8].webm,Unknown,dixieland delight (single edit),unsorted,0.0,musicup/unsorted/Dixieland Delight (Single Edit) [_X7hbg349A8].webm,no strong match
Don't Rock The Jukebox [fEvG2IRqA1U].webm,Unknown,don't rock the jukebox,unsorted,0.0,musicup/unsorted/Don't Rock The Jukebox [fEvG2IRqA1U].webm,no strong match
Don't Take Her She's All I Got [D5BMCb-O2cQ].webm,Unknown,don't take her she's all i got,unsorted,0.0,musicup/unsorted/Don't Take Her She's All I Got [D5BMCb-O2cQ].webm,no strong match
Don't Take The Girl [FWaW1IjbmAk].webm,Unknown,don't take the girl,unsorted,0.0,musicup/unsorted/Don't Take The Girl [FWaW1IjbmAk].webm,no strong match
Down Home [_ldcaisvK8o].webm,Unknown,down home,unsorted,0.0,musicup/unsorted/Down Home [_ldcaisvK8o].webm,no strong match
Down On The Farm [3CgWogwFHjc].webm,Unknown,down on the farm,unsorted,0.0,musicup/unsorted/Down On The Farm [3CgWogwFHjc].webm,no strong match
Drinkin' My Baby Goodbye [HX9RDjBpL0Q].webm,Unknown,drinkin' my baby goodbye,unsorted,0.0,musicup/unsorted/Drinkin' My Baby Goodbye [HX9RDjBpL0Q].webm,no strong match
Dwight Yoakam - Fast As You (Official Video) [A2qo1x9rcCc].webm,dwight yoakam,fast as you,unsorted,0.0,musicup/unsorted/Dwight Yoakam - Fast As You (Official Video) [A2qo1x9rcCc].webm,no strong match
Dwight Yoakam - Honky Tonk Man (Official Video) [eBlc2FN99is].webm,dwight yoakam,honky tonk man,unsorted,0.0,musicup/unsorted/Dwight Yoakam - Honky Tonk Man (Official Video) [eBlc2FN99is].webm,no strong match
Easton Corbin - A Girl Like You (Audio) [Qjcus0-Gc_U].webm,easton corbin,a girl like you,unsorted,0.0,musicup/unsorted/Easton Corbin - A Girl Like You (Audio) [Qjcus0-Gc_U].webm,no strong match
Easton Corbin - All Over The Road [9IRNLeBoozo].webm,easton corbin,all over the road,unsorted,0.0,musicup/unsorted/Easton Corbin - All Over The Road [9IRNLeBoozo].webm,no strong match
Easton Corbin - Lovin' You Is Fun [LSTPIUz_QY4].webm,easton corbin,lovin' you is fun,unsorted,0.0,musicup/unsorted/Easton Corbin - Lovin' You Is Fun [LSTPIUz_QY4].webm,no strong match
"Easy Come, Easy Go [xQRuodiIR18].webm",Unknown,"easy come, easy go",unsorted,0.0,"musicup/unsorted/Easy Come, Easy Go [xQRuodiIR18].webm",no strong match
Ella Langley - Choosin' Texas (Official Lyric Video) [hLOheGDwD_0].webm,ella langley,choosin' texas,unsorted,0.0,musicup/unsorted/Ella Langley - Choosin' Texas (Official Lyric Video) [hLOheGDwD_0].webm,no strong match
Everywhere [D1D6Ix1kgIw].webm,Unknown,everywhere,unsorted,0.0,musicup/unsorted/Everywhere [D1D6Ix1kgIw].webm,no strong match
Family Tradition [GdDyEqnhvNI].webm,Unknown,family tradition,unsorted,0.0,musicup/unsorted/Family Tradition [GdDyEqnhvNI].webm,no strong match
Flo Rida - Good Feeling (Audio) [hV2z4oBNFKs].webm,flo rida,good feeling,hiphop,10,musicup/hiphop/Flo Rida - Good Feeling (Audio) [hV2z4oBNFKs].webm,artist:flo rida->hiphop
Flo Rida - My House (Official Audio) [TuxMwALL_S4].webm,flo rida,my house,hiphop,13,musicup/hiphop/Flo Rida - My House (Official Audio) [TuxMwALL_S4].webm,artist:flo rida->hiphop | kw:my house+3->hiphop
Flo Rida feat. T-Pain - Low ｜ Lyrics [CxPc1Q3-0zc].webm,flo rida feat. t-pain,low | lyrics,hiphop,13.0,musicup/hiphop/Flo Rida feat. T-Pain - Low ｜ Lyrics [CxPc1Q3-0zc].webm,artist:flo rida->hiphop | kw:lyrics+1->pop | kw:feat.+1->hiphop | kw:low+3->hiphop
Fool Hearted Memory [DB-VNN4WrvE].webm,Unknown,fool hearted memory,unsorted,0.0,musicup/unsorted/Fool Hearted Memory [DB-VNN4WrvE].webm,no strong match
Free [iL85KKFcgMk].webm,Unknown,free,unsorted,0.0,musicup/unsorted/Free [iL85KKFcgMk].webm,no strong match
Fun.： We Are Young ft. Janelle Monáe [OFFICIAL VIDEO] [Sv6dMFF_yts].webm,Unknown,fun.: we are young ft. janelle monáe,alternative,12,musicup/alternative/Fun.： We Are Young ft. Janelle Monáe [OFFICIAL VIDEO] [Sv6dMFF_yts].webm,artist:fun.->alternative | kw:ft.+1->hiphop | kw:we are young+3->alternative
George Strait - Baby's Gotten Good At Goodbye (Official Music Video) [HDbxoUjxZzM].webm,george strait,baby's gotten good at goodbye,country,10,musicup/country/George Strait - Baby's Gotten Good At Goodbye (Official Music Video) [HDbxoUjxZzM].webm,artist:george strait->country
George Strait - Carrying Your Love With Me (Official Music Video) [HD] [jH4YI1faPwU].webm,george strait,carrying your love with me,country,10,musicup/country/George Strait - Carrying Your Love With Me (Official Music Video) [HD] [jH4YI1faPwU].webm,artist:george strait->country
George Strait - Check Yes Or No (Official Music Video) [NHxS8wlDngI].webm,george strait,check yes or no,country,10,musicup/country/George Strait - Check Yes Or No (Official Music Video) [NHxS8wlDngI].webm,artist:george strait->country
George Strait - Here For A Good Time (Official Audio) [Sl3lcTZN7fI].webm,george strait,here for a good time,country,10,musicup/country/George Strait - Here For A Good Time (Official Audio) [Sl3lcTZN7fI].webm,artist:george strait->country
George Strait - I Got A Car (with lyrics) [m26zzjAdeNQ].webm,george strait,i got a car (with lyrics),country,9.0,musicup/country/George Strait - I Got A Car (with lyrics) [m26zzjAdeNQ].webm,artist:george strait->country | kw:lyrics+1->pop
George Strait - The Chair [BfUdRDxNjpI].webm,george strait,the chair,country,10,musicup/country/George Strait - The Chair [BfUdRDxNjpI].webm,artist:george strait->country
George Strait - The Cowboy Rides Away (Official Lyric Video) [kFbbyt6oAmk].webm,george strait,the cowboy rides away,country,9,musicup/country/George Strait - The Cowboy Rides Away (Official Lyric Video) [kFbbyt6oAmk].webm,artist:george strait->country | kw:cowboy+2->country | kw:ride+3->alternative
George Strait - The Seashores Of Old Mexico (Official Music Video - Closed Captioned) [V-9FdWmZqRQ].webm,george strait,the seashores of old mexico,country,10,musicup/country/George Strait - The Seashores Of Old Mexico (Official Music Video - Closed Captioned) [V-9FdWmZqRQ].webm,artist:george strait->country
George Strait-Troubadour [Zo-tSAtM9ZQ].webm,Unknown,george strait-troubadour,country,10,musicup/country/George Strait-Troubadour [Zo-tSAtM9ZQ].webm,artist:george strait->country
Girl on Fire [mVuSfxqpZa4].webm,Unknown,girl on fire,unsorted,0.0,musicup/unsorted/Girl on Fire [mVuSfxqpZa4].webm,no strong match
Give It All We Got Tonight [jcu627EI4ck].webm,Unknown,give it all we got tonight,unsorted,0.0,musicup/unsorted/Give It All We Got Tonight [jcu627EI4ck].webm,no strong match
God Blessed Texas (Special Version) [OQkq9eoH63w].webm,Unknown,god blessed texas (special version),unsorted,0.0,musicup/unsorted/God Blessed Texas (Special Version) [OQkq9eoH63w].webm,no strong match
Gone Country [RBYu5tIT8O4].webm,Unknown,gone country,country,6,musicup/country/Gone Country [RBYu5tIT8O4].webm,kw:country+6->country
Good Directions [myr5JxC4b_I].webm,Unknown,good directions,unsorted,0.0,musicup/unsorted/Good Directions [myr5JxC4b_I].webm,no strong match
Green Day - Wake Me Up When September Ends (Official Audio) [pGhwBFYtn1s].webm,green day,wake me up when september ends,rock,11,musicup/rock/Green Day - Wake Me Up When September Ends (Official Audio) [pGhwBFYtn1s].webm,artist:green day->rock | kw:september ends+4->rock | kw:wake me up when september ends+3->alternative
"Guitars, Cadillacs [C6N5aT9XmQg].webm",Unknown,"guitars, cadillacs",unsorted,1,"musicup/unsorted/Guitars, Cadillacs [C6N5aT9XmQg].webm",kw:guitar+1->rock
Gym Class Heroes： Stereo Hearts ft. Adam Levine [Official Audio] Full HD [JendCt1BhvU].webm,Unknown,gym class heroes: stereo hearts ft. adam levine full hd,unsorted,0.8,musicup/unsorted/Gym Class Heroes： Stereo Hearts ft. Adam Levine [Official Audio] Full HD [JendCt1BhvU].webm,kw:ft.+1->hiphop
Harry Styles - Sign of the Times (Audio) [z0GKGpObgPY].webm,harry styles,sign of the times,pop,14,musicup/pop/Harry Styles - Sign of the Times (Audio) [z0GKGpObgPY].webm,artist:harry styles->pop | kw:sign of the times+4->pop
He Ain't Worth Missing - Toby Keith [8Tph-NG0ogc].webm,he ain't worth missing,toby keith,unsorted,0.0,musicup/unsorted/He Ain't Worth Missing - Toby Keith [8Tph-NG0ogc].webm,no strong match
"Heads Carolina, Tails California - Jo Dee Messina [VYDLy-hbSdA].webm","heads carolina, tails california",jo dee messina,unsorted,0.0,"musicup/unsorted/Heads Carolina, Tails California - Jo Dee Messina [VYDLy-hbSdA].webm",no strong match
Hoobastank - The Reason  (Audio) [2kB3JxcZUUM].webm,hoobastank,the reason,rock,10,musicup/rock/Hoobastank - The Reason  (Audio) [2kB3JxcZUUM].webm,artist:hoobastank->rock
I Can Still Make Cheyenne [XeuOAcrT_bc].webm,Unknown,i can still make cheyenne,unsorted,0.0,musicup/unsorted/I Can Still Make Cheyenne [XeuOAcrT_bc].webm,no strong match
I Don't Even Know Your Name [e9Y5ns3GgRw].webm,Unknown,i don't even know your name,unsorted,0.0,musicup/unsorted/I Don't Even Know Your Name [e9Y5ns3GgRw].webm,no strong match
I Don't Want to Miss a Thing (From ＂Armageddon＂ Soundtrack) [YZSGRv02THg].webm,Unknown,"i don't want to miss a thing (from ""armageddon"" soundtrack)",unsorted,0.0,musicup/unsorted/I Don't Want to Miss a Thing (From ＂Armageddon＂ Soundtrack) [YZSGRv02THg].webm,no strong match
I Gotta Feeling [hs_yk24ghzA].webm,Unknown,i gotta feeling,unsorted,0.0,musicup/unsorted/I Gotta Feeling [hs_yk24ghzA].webm,no strong match
